appnavigator.s_0: RU: Проекты | EN: Projects
appnavigator.s_1: RU: Центр помощи | EN: Help Center
appnavigator.s_2: RU: Центр помощи | EN: Help Center
appnavigator.s_3: RU: Конфиденциальность | EN: Privacy Policy
appnavigator.s_4: RU: О приложении | EN: About App
customtabbar.s_0: RU: Главная | EN: Home
customtabbar.s_1: RU: Главная | EN: Home
customtabbar.s_2: RU: Задачи | EN: Tasks
customtabbar.s_3: RU: Календарь | EN: Calendar
customtabbar.s_4: RU: Чаты | EN: Chats
emailverification.s_0: RU: Введите код | EN: Enter code
emailverification.s_1: RU: Введите код | EN: Enter code
emailverification.s_2: RU: Успешно | EN: Successfully
emailverification.s_3: RU: Код подтверждения отправлен повторно | EN: Verification code has been resent
emailverification.s_4: RU: Успешно | EN: Successfully
emailverification.s_5: RU: Код подтверждения отправлен повторно | EN: Verification code has been resent
emailverification.s_6: RU: Отмена регистрации | EN: Cancel Registration
emailverification.s_7: RU: Отмена регистрации | EN: Cancel Registration
emailverification.s_8: RU: Вы уверены, что хотите отменить регистрацию? Все данные будут удалены. | EN: Are you sure you want to cancel your registration? All data will be deleted.
emailverification.s_9: RU: Нет | EN: No
emailverification.s_10: RU: [EmailVerification] Cancel error: | EN: [EmailVerification] Cancel error:
emailverification.s_11: RU: Ошибка | EN: Error
emailverification.s_12: RU: Подтвердите email | EN: Confirm your email
emailverification.s_13: RU: Подтвердите email | EN: Confirm your email
emailverification.s_14: RU: Код подтверждения | EN: Verification code
emailverification.s_15: RU: Подтвердить | EN: Confirm
emailverification.s_16: RU: Отправить код повторно | EN: Resend code
emailverification.s_17: RU: Отменить регистрацию | EN: Cancel registration
login.s_0: RU: Введите email, телефон или имя пользователя | EN: Enter email, phone or username
login.s_1: RU: Введите пароль | EN: Enter your password
login.s_2: RU: Сбросить онбординг? | EN: Reset onboarding?
login.s_3: RU: Сбросить онбординг? | EN: Reset onboarding?
login.s_4: RU: Вы снова увидите экраны приветствия при следующем запуске | EN: You will see the welcome screens again the next time you start
login.s_5: RU: Отмена | EN: Cancel
login.s_6: RU: Готово | EN: Done
login.s_7: RU: Онбординг будет показан при следующем запуске приложения | EN: Onboarding will be shown the next time you launch the application
login.s_8: RU: Вместе делаем город чище! | EN: Together we make the city cleaner!
login.s_9: RU: Email, телефон или имя пользователя | EN: Email, phone or username
login.s_10: RU: Email, телефон или имя пользователя | EN: Email, phone or username
login.s_11: RU: Пароль | EN: Password
login.s_12: RU: Пароль | EN: Password
login.s_13: RU: Забыли пароль? | EN: Forgot your password?
login.s_14: RU: Войти | EN: Login
login.s_15: RU: Нет аккаунта? | EN: Don't have an account?
login.s_16: RU: Зарегистрироваться как волонтёр | EN: Register as a volunteer
login.s_17: RU: Сбросить онбординг (Debug) | EN: Reset onboarding (Debug)
passwordreset.s_0: RU: Введите email | EN: Enter email
passwordreset.s_1: RU: Введите email | EN: Enter email
passwordreset.s_2: RU: Введите код | EN: Enter code
passwordreset.s_3: RU: Введите код | EN: Enter code
passwordreset.s_4: RU: Введите новый пароль | EN: Enter new password
passwordreset.s_5: RU: Введите новый пароль | EN: Enter new password
passwordreset.s_6: RU: Пароли не совпадают | EN: Passwords don't match
passwordreset.s_7: RU: Пароль успешно изменён. Теперь вы можете войти с новым паролем. | EN: The password has been successfully changed. You can now log in with your new password.
passwordreset.s_8: RU: Сброс пароля | EN: Password reset
passwordreset.s_9: RU: Сброс пароля | EN: Password reset
passwordreset.s_10: RU: Отправить код | EN: Send code
passwordreset.s_11: RU: Введите код | EN: Enter code
passwordreset.s_12: RU: Введите код | EN: Enter code
passwordreset.s_13: RU: Код подтверждения | EN: Verification code
passwordreset.s_14: RU: Продолжить | EN: Continue
passwordreset.s_15: RU: Отправить код повторно | EN: Resend code
passwordreset.s_16: RU: Новый пароль | EN: New Password
passwordreset.s_17: RU: Новый пароль | EN: New Password
passwordreset.s_18: RU: Новый пароль | EN: New Password
passwordreset.s_19: RU: Новый пароль | EN: New Password
passwordreset.s_20: RU: Подтверждение пароля | EN: Password confirmation
passwordreset.s_21: RU: Подтверждение пароля | EN: Password confirmation
passwordreset.s_22: RU: Изменить пароль | EN: Change password
passwordreset.s_23: RU: Сброс пароля | EN: Password reset
passwordreset.s_24: RU: Сброс пароля | EN: Password reset
passwordreset.s_25: RU: Сброс пароля | EN: Password reset
registervolunteer.s_0: RU: Введите ФИО | EN: Enter your full name
registervolunteer.s_1: RU: Введите номер телефона | EN: Enter your phone number
registervolunteer.s_2: RU: Введите email | EN: Enter email
registervolunteer.s_3: RU: Введите email | EN: Enter email
registervolunteer.s_4: RU: Введите пароль | EN: Enter your password
registervolunteer.s_5: RU: Введите пароль | EN: Enter your password
registervolunteer.s_6: RU: Пароли не совпадают | EN: Passwords don't match
registervolunteer.s_7: RU: Отмена регистрации | EN: Cancellation of registration
registervolunteer.s_8: RU: Отмена регистрации | EN: Cancellation of registration
registervolunteer.s_9: RU: Вы уверены, что хотите отменить регистрацию? | EN: Are you sure you want to cancel your registration?
registervolunteer.s_10: RU: Нет | EN: No
registervolunteer.s_11: RU: Ошибка | EN: Error
